序号,一级分类,二级分类,素材名,图片数,介绍
1,服饰类,红型工艺,白木棉地牡丹模様红型,1,"　　白木棉地牡丹模様红型是琉球红型染的经典代表作之一，以白色木棉为地，用型染工艺印染牡丹花纹样。红型（びんがた）是琉球王国独有的传统染色技法，名称中「ビン」意为色彩，「ガタ」意为纹样，起源可追溯至14至15世纪，受中国、东南亚及日本多元文化影响而形成。
　　其制作工艺繁复，需经型纸雕刻、防染糊涂刷、色挿し（逐色刷染）、晕映、蒸化固色、水洗等多道工序。牡丹花纹在琉球文化中象征富贵与繁荣，是红型中最常见的吉祥纹样之一。
　　白地红型以其清新典雅的格调，多用于士族阶层的日常礼服与夏季衣装，体现了琉球王国高超的染织工艺水平与独特的审美情趣。"
2,服饰类,红型工艺,红色宝珠瑞云花纹夹衣,1,"　　红色宝珠瑞云花纹夹衣是琉球王室贵族的重要礼服，以鲜艳的红色为地，印染宝珠与瑞云纹样，属国宝级红型染织物。琉球红型在王国时期受到王室的严格保护与管理，设有专门的染织机构，红型衣装是区分贵族等级的重要标志。
　　红色在琉球文化中象征尊贵与辟邪，宝珠纹寓意吉祥圆满，瑞云纹则代表祥瑞之兆。夹衣（あわせ）是表里两层的和服式衣装，适合春秋季穿着，其形制受中国明代服饰与日本和服的双重影响，交领右衽、宽袖大身，衣带宽阔系于胸前。
　　这件夹衣集中体现了琉球红型染工艺的最高成就，色彩饱和度高，纹样布局疏密得当，是研究琉球王国服饰制度与染织工艺的珍贵实物资料。"
3,服饰类,红型工艺,黄木棉地菊牡丹红型,1,"　　黄木棉地菊牡丹红型是琉球红型染的代表性作品，以黄色木棉为地，印染菊花与牡丹组合纹样。黄色在琉球服饰等级制度中占有重要地位，是中上级士族的常用服色。
　　菊花与牡丹均为琉球红型中最经典的花卉纹样，菊花象征高洁长寿，牡丹寓意富贵荣华，二者组合表达了对美好生活的祈愿。琉球红型的染料来源丰富，包括矿物颜料与植物染料两大类，黄色多取自地黄、栀子等植物染料。其染色工艺采用型纸防染与手绘笔填相结合的方式，先以型纸印染轮廓与主色，再以毛笔细致晕染花瓣层次，最后经蒸化固色。
　　这件作品色彩明快温暖，纹样饱满生动，充分展现了琉球红型南国情调浓郁、色彩华丽的艺术特色。"
4,服饰类,红型工艺,浅葱麻地牡丹凤凰红型,1,"　　浅葱麻地牡丹凤凰红型是琉球红型染中的精品，以浅葱色（淡蓝色）麻布为地，印染牡丹与凤凰纹样。麻布是琉球传统衣料之一，透气性佳，适合亚热带气候穿着。
　　浅葱色清新淡雅，在琉球服饰色彩体系中属于中级士族服色。凤凰是中国传统文化中的瑞鸟，象征吉祥与高贵，经中国传入琉球后成为王室与高级贵族服饰的专属纹样，与牡丹组合寓意「凤穿牡丹」，象征荣华富贵。琉球红型的型纸多以和纸或鲨鱼皮制成，雕刻极为精细，凤凰的羽毛纹理与牡丹的花瓣层次均需精准刻画。
　　这件作品以冷色调为底，配以高饱和度的红、绿等色染纹样，形成鲜明对比，体现了琉球红型大胆用色、纹样繁复的艺术风格，是研究琉球染织工艺与文化交流的重要实物。"
5,服饰类,红型工艺,鼠紫色木棉地山水楼阁红型,1,"　　鼠紫色木棉地山水楼阁红型是琉球红型染中较为少见的风景题材作品，以鼠紫色（灰紫色）木棉为地，印染山水楼阁纹样。琉球红型的传统纹样以花鸟风月为主，山水楼阁题材受中国水墨画与山水画影响较深，多出现于高级贵族的礼服与屏风装饰中。
　　鼠紫色是一种沉稳内敛的中间色，在琉球服饰色彩中属于雅致的高级用色，常用于士族男性的日常衣装。山水楼阁纹样以远景山峦、近景亭台楼阁为构图，间以树木流水，意境悠远，体现了中国文人画审美对琉球艺术的影响。琉球红型的晕染技法（晕映）可使色彩产生由深至浅的渐变效果，在山水题材中用于表现云雾与远近层次，使画面富有立体感。
　　这件作品展示了琉球红型不仅擅长花卉纹样，在风景题材上亦有高超造诣。"
6,服饰类,红型工艺,紫木棉地风景模様红型,1,"　　紫木棉地风景模様红型是琉球红型染的风景题材代表作，以紫色木棉为地，印染风景纹样。紫色在琉球文化中象征高贵与神秘，是王室与高级贵族的专属服色之一，普通百姓不得僭用。
　　风景模様（风景纹样）在琉球红型中属较高级的纹样类别，多描绘琉球本土的自然景观，如海岸、礁石、棕榈、村落等，具有浓郁的南国风情。与受中国影响的山水楼阁题材不同，本土风景纹样更具琉球地域特色，反映了琉球人对自身生活环境的热爱与审美表达。琉球红型的染色工艺需经多次套色，每种颜色单独刷染并干燥后再进行下一色，工艺繁复耗时。
　　紫色地配以红、黄、绿等亮色风景纹样，形成华丽而不失沉稳的视觉效果，是琉球红型艺术中地域特色与高超工艺的完美结合。"
7,服饰类,配饰,鼈甲簪,1,"　　鼈甲簪是琉球传统发饰之一，以鼈甲（海龟壳）为材料精心制作而成。鼈甲在琉球文化中是极为珍贵的材料，因其光泽温润、纹理美丽而备受贵族女性喜爱，是身份与地位的象征。
　　琉球群岛地处热带海域，海龟资源丰富，鼈甲工艺在琉球王国时期达到很高水平。簪（かんざし）是固定发髻的发饰，琉球女性的发式受中国与日本双重影响，贵族女性发髻高挽，需以多种发饰固定与装饰。鼈甲簪的制作需经加热软化、塑形、雕刻、打磨等多道工序，工匠利用鼈甲天然的半透明质感与黄褐色纹理，制作出花卉、如意、云纹等各种造型。
　　琉球鼈甲簪与日本本土簪在形制上有所区别，更显大气华丽，部分簪头还镶嵌金、银、珊瑚等装饰，是琉球贵族女性盛装时不可或缺的重要配饰。"
8,服饰类,配饰,发簪かんざし,2,"　　发簪（かんざし）是琉球传统女性发饰的统称，种类繁多，材质丰富，是琉球服饰文化的重要组成部分。琉球发簪的材质包括金、银、铜、鼈甲、珊瑚、象牙、竹、木等，不同材质对应不同的身份等级与使用场合。
　　王室与高级贵族多用金簪、银簪与鼈甲簪，士族阶层多用银簪与铜簪，平民则多用竹簪与木簪。琉球发簪的造型丰富多样，有花卉形、动物形、几何形、如意形等，部分簪头还饰有红型染织物或流苏。琉球女性的发式在不同年龄段与身份等级上有严格区分，未婚少女、已婚妇人、老年女性的发髻各有不同，所需发簪的数量与种类也各异。
　　琉球发簪工艺融合了中国、日本与东南亚的装饰风格，形成了独特的琉球审美，是研究琉球物质文化与社会等级制度的重要实物资料。"
9,服饰类,庶民服饰,芭蕉布着物,1,"　　芭蕉布着物是琉球庶民阶层的传统常服，以芭蕉纤维纺织而成的芭蕉布为面料。芭蕉布是琉球最具代表性的传统织物之一，利用芭蕉树干的纤维经过剥皮、晾晒、捻线、织布等多道工序制成，质地轻薄透气，非常适合冲绳的亚热带气候。
　　琉球芭蕉布的历史悠久，在王国时期是庶民百姓的主要衣料，因其原料易得、制作简便而广泛流行。芭蕉布着物的形制简洁朴素，交领右衽，衣袖较窄，衣长及膝，便于劳作。与贵族华丽的红型衣装不同，芭蕉布着物多为素色或简单的条纹纹样，不施繁饰，体现了庶民服饰的实用主义特征。
　　芭蕉布的织造技艺在2000年被日本政府指定为传统工艺品，是琉球庶民文化与生活智慧的结晶，反映了琉球人因地制宜、利用本土资源创造生活美学的文化传统。"
10,服饰类,王室贵族服饰,赤地瑞云花纹缎子龙袍,1,"　　赤地瑞云花纹缎子龙袍是琉球国王的最高等级礼服，属国宝级文物，以红色缎子为面料，织绣瑞云花纹与龙纹。琉球国王的服饰制度深受中国明代册封制度影响，国王在接受中国皇帝册封后，获赐蟒袍、玉带等礼服，在此基础上发展出琉球独特的王室服饰体系。
　　红色是琉球王室的专属服色，象征至高无上的王权与尊贵。龙纹在琉球服饰中是国王的专属纹样，与中国的五爪龙不同，琉球龙纹多为四爪，体现了作为中国藩属国的等级区分。瑞云纹寓意祥瑞，遍布衣身，与龙纹组合形成「云龙」图案，象征王权天授。
　　这件龙袍面料为高级缎子，织造精密，纹样华丽，是琉球王国最高织造工艺的集中体现，也是研究中琉册封关系与琉球服饰制度的珍贵实物资料，现藏于那霸市历史博物馆。"
